OBJECTID,tmc,speed_limit
1490,129-08821,35
1491,129N08825,30
1492,129-09568,40
1493,129-08822,30
1494,129-08825,45
1495,129+08295,40
1496,129+10061,40
1497,129P10238,40
1498,129+08288,35
1499,129P10056,30
1500,129P10061,40
1501,129+08289,40
1502,129P10057,30
1503,129+08291,35
1504,129+10057,30
1505,129+10055,25
1506,129+08292,40
1507,129+08293,40
1508,129+08294,35
1509,129P08287,20
1510,129P08290,35
1511,129+10239,30
1512,129P10053,30
1513,C-171-15,30
1514,129P10060,40
1515,129+08290,35
1516,129+10056,30
1517,129P10054,25
1518,129+10054,30
1519,129-08287,35
1520,129-08292,40
1521,129N10054,25
1522,129-08288,40
1523,129N10053,30
1524,129N10056,30
1525,129-08289,35
1526,129-08291,40
1527,129N10239,30
1528,129-10060,40
1529,129-08293,35
1530,129-10054,25
1531,129-10238,30
1532,129N08290,35
1533,129-10053,30
1534,129-10056,30
1535,129-08294,40
1536,129N10057,30
1537,129N10238,40
1538,129N10060,40
1539,129N08287,20
1540,129N10061,40
1541,129-10055,30
1542,129-08290,35
1543,129P08791,30
1544,129+08785,30
1545,129P08785,30
1546,129+08799,35
1547,129+08793,30
1548,129+08794,30
1549,129+08796,25
1550,129+08795,25
1551,129+08797,30
1552,129+08798,40
1553,129+08791,30
1554,129+08800,40
1555,129P10565,30
1556,129+08792,30
1557,129+08787,30
1558,129P08792,30
1559,129P08796,25
1560,129P08795,25
1561,129-04868,30
1562,129P08789,30
1563,129+08790,30
1564,129P08784,30
1565,129P08786,30
1566,129P08790,30
1567,129+10565,30
1568,129P08787,25
1569,129+08786,30
1570,129-08784,30
1571,129-08799,40
1572,129-10564,30
1573,129N08791,30
1574,129-08791,30
1575,129-08794,25
1576,129N08784,30
1577,129-08790,30
1578,129-08785,30
1579,129+04869,30
1580,129-08797,40
1581,129N08786,30
1582,129N08796,25
1583,129-08786,30
1584,129N10565,30
1585,129N08795,25
1586,129-08796,30
1587,129-08798,35
1588,129N08792,30
1589,129-08789,30
1590,129N08790,30
1591,129-08792,30
1592,129-08795,25
1593,129N08785,30
1594,129-08793,30
1595,C-174-16,30
1596,129+08080,30
1597,129+08067,50
1598,129+08070,50
1599,129+08065,45
1600,129+08072,45
1601,129+08062,35
1602,129P08070,50
1603,129+08084,30
1604,129P08068,50
1605,129P08059,45
1606,129P08073,25
1607,129+08071,35
1608,129P08082,35
1609,129P08067,20
1610,129P08076,35
1611,129+08082,35
1612,129+08075,35
1613,129+08079,30
1614,129+08073,45
1615,129+08077,30
1616,129+08060,35
1617,129+08061,40
1618,129+08066,45
1619,129+08078,30
1620,129+08064,35
1621,129+08081,35
1622,129+08083,35
1623,129P08075,35
1624,129+08076,35
1625,129+08068,50
1626,129P14212,30
1627,129P08066,35
1628,129P08078,30
1629,129+08063,25
1630,129+08069,50
1631,129+08074,40
1632,129P08065,45
1633,129P08061,40
1634,129+14212,30
1635,129P08083,35
1636,129P08063,35
1637,129P08072,40
1638,129-08073,40
1639,129-08059,35
1640,129-08080,35
1641,129-08064,45
1642,129N08063,40
1643,129-08063,35
1644,129-08074,35
1645,129-08081,35
1646,129-08065,45
1647,129-08061,35
1648,129-08071,45
1649,129N08070,50
1650,129N08068,50
1651,129N08065,45
1652,129N08076,35
1653,129N08083,30
1654,129-08067,50
1655,129-08066,50
1656,129N08062,35
1657,129N08073,40
1658,129-08060,40
1659,129-08062,25
1660,129N08075,35
1661,129N08078,30
1662,129-08083,30
1663,129-08075,35
1664,129-08068,50
1665,129-08069,50
1666,129-14212,30
1667,129N14212,30
1668,129N08059,45
1669,129-08077,30
1670,129-08079,30
1671,129N08066,35
1672,129-08082,35
1673,129-08076,30
1674,129-08070,35
1675,129N08067,20
1676,129N08061,40
1677,129N08082,35
1678,129-08078,30
1679,129N08072,40
1680,129-08072,45
1681,129+08846,35
1682,129P08459,30
1683,129+08460,35
1684,129+08845,35
1685,129P08846,35
1686,129P08844,35
1687,129+08848,40
1688,129+08461,30
1689,129P08845,35
1690,129P09016,35
1691,129P08847,25
1692,129-08459,35
1693,129N08847,25
1694,129N09016,30
1695,129N08846,35
1696,129-08845,35
1697,129N08845,35
1698,129N08844,35
1699,129-08844,35
1700,129-08847,40
1701,129-08460,30
1702,129+08320,35
1703,129+08306,40
1704,129P08324,35
1705,129+08322,35
1706,129P08311,35
1707,129+08314,35
1708,129+08321,35
1709,129+08309,50
1710,129P08309,40
1711,129+08317,45
1712,129P08305,40
1713,129+08316,35
1714,129+08319,35
1715,129+08307,45
1716,129+08324,35
1717,129+08310,45
1718,129+08308,45
1719,129+08313,40
1720,129P08313,35
1721,129+08311,35
1722,129P08315,35
1723,129P08323,25
1724,129+08312,45
1725,129+08323,35
1726,129+08315,40
1727,129P08306,25
1728,129P08319,35
1729,129+08318,35
1730,129-08315,35
1731,129-08321,35
1732,129-08312,40
1733,129-08322,35
1734,129-08320,35
1735,129-08307,45
1736,129N08306,25
1737,129N08305,40
1738,129-08309,45
1739,129-08308,50
1740,129N08315,35
1741,129-08317,35
1742,129N08324,35
1743,129N08323,35
1744,129N08319,35
1745,129-08305,40
1746,129-08311,45
1747,129-08319,35
1748,129-08318,35
1749,129-08316,45
1750,129-08306,45
1751,129-08310,35
1752,129N08313,35
1753,129N08309,40
1754,129-08323,35
1755,129N08311,35
1756,129-08313,35
1757,129-08314,40
1758,129-08700,30
1759,129N08703,20
1760,129-08708,25
1761,129-08710,30
1762,129-08707,30
1763,129-08704,20
1764,129-08711,35
1765,129N05791,20
1766,129-08697,30
1767,129N08707,25
1768,129N08699,30
1769,129-08703,20
1770,129N08710,30
1771,129+05384,35
1772,129N08697,35
1773,129-05790,30
1774,129-08709,30
1775,129N05790,30
1776,129-08701,20
1777,129-08705,20
1778,129-08712,25
1779,129-05791,30
1780,129N08711,20
1781,129-08698,30
1782,129-08702,25
1783,129N08708,25
1784,129N08701,20
1785,129N08706,25
1786,129-08699,30
1787,129N08705,20
1788,129N08702,20
1789,129-08706,35
1790,129N08704,20
1791,129N08709,30
1792,129N08713,25
1793,129-05792,30
1794,129N08712,25
1795,129N05792,25
1796,129+05792,30
1797,129-05383,35
1798,129P08710,30
1799,129P08708,25
1800,129P08707,25
1801,129P08709,30
1802,129P08713,25
1803,129P08701,20
1804,129+08710,30
1805,129+08709,25
1806,129P05792,25
1807,129+08713,25
1808,129+08698,30
1809,129+08705,20
1810,129+08700,30
1811,129P08712,25
1812,129+08703,25
1813,129+08712,35
1814,129+08702,20
1815,129P08706,20
1816,129+08708,25
1817,129P08702,20
1818,129+08704,20
1819,129P08704,20
1820,129P08697,35
1821,129+05791,30
1822,129P08705,20
1823,129P05790,30
1824,129P08703,20
1825,129P05791,20
1826,129P08699,30
1827,129+08699,30
1828,129+08706,20
1829,129+08711,30
1830,129+08697,30
1831,129P08711,20
1832,129+08707,35
1833,129+08701,30
1834,129+08954,40
1835,129+08962,35
1836,129+08960,40
1837,129+08945,20
1838,129+08946,25
1839,129+08963,35
1840,129+08961,35
1841,129+08955,35
1842,129+08957,30
1843,129+08950,30
1844,129+08941,30
1845,129+08956,40
1846,129+08951,35
1847,129P08960,40
1848,129+08942,35
1849,129+08953,40
1850,129+08964,25
1851,129P08961,35
1852,129P08955,40
1853,129P08956,40
1854,129+08952,40
1855,129P08951,30
1856,129+08944,25
1857,129+08958,30
1858,129+08959,30
1859,129P08959,25
1860,129+08947,25
1861,129+08948,35
1862,129P08947,45
1863,129P08964,25
1864,129+08949,35
1865,129+08943,30
1866,129-08943,25
1867,129-08958,30
1868,129-08941,35
1869,129-08957,30
1870,129-08953,40
1871,129-08950,35
1872,129-08960,35
1873,129-08959,40
1874,129-08947,35
1875,129-08952,40
1876,129-08945,25
1877,129-08951,40
1878,129N08960,40
1879,129N08955,40
1880,129N08964,25
1881,129-08942,30
1882,129-08944,20
1883,129-08949,30
1884,129-08954,35
1885,129N08956,40
1886,129-08961,35
1887,129-08940,30
1888,129-08948,35
1889,129-08963,25
1890,129-08946,25
1891,129-08956,30
1892,129-08955,40
1893,129N08947,45
1894,129N08959,25
1895,129N08951,30
1896,129-08962,35
1897,129N08961,35
1898,129P08938,30
1899,129+08926,30
1900,129+08929,25
1901,129+08927,40
1902,129P08940,40
1903,129P08923,40
1904,129+08938,40
1905,129+08935,30
1906,129+08941,30
1907,129+08937,30
1908,129+08928,35
1909,129+08940,25
1910,129+08932,35
1911,129+08936,25
1912,129P08934,35
1913,129+08924,50
1914,129+08925,40
1915,129+08930,25
1916,129P08928,35
1917,129+08934,35
1918,129+08933,30
1919,129+08939,30
1920,129+08931,35
1921,129P08924,30
1922,129P08936,20
1923,129P08929,25
1924,129-08937,40
1925,129-08931,35
1926,129-08923,50
1927,129-08928,25
1928,129-08935,25
1929,129N08928,35
1930,129-08927,35
1931,129N08938,30
1932,129N08923,40
1933,129N08936,20
1934,129N08929,25
1935,129-08930,35
1936,129-08933,35
1937,129N08924,30
1938,129N08934,35
1939,129-08938,30
1940,129-08929,25
1941,129-08926,40
1942,129-08940,30
1943,129-08936,30
1944,129-08925,30
1945,129-08932,30
1946,129-08924,40
1947,129N08940,40
1948,129-08939,25
1949,129-08934,30
1950,129+08903,40
1951,129+08901,35
1952,129P08908,30
1953,129P08910,25
1954,129P08902,35
1955,129+08902,40
1956,129+07619,30
1957,129+08907,35
1958,129+08900,40
1959,129+08905,40
1960,129+08910,40
1961,129+08909,30
1962,129+08906,30
1963,129P07619,40
1964,129P07618,30
1965,129P08907,40
1966,129+08908,30
1967,129+08904,30
1968,129-07618,30
1969,129-08904,40
1970,129N08907,40
1971,129-08909,40
1972,129N07618,30
1973,129-08906,35
1974,129-08907,30
1975,129N08908,30
1976,129-08908,30
1977,129-08903,30
1978,129-07619,40
1979,129-08901,40
1980,129N07619,40
1981,129N08902,35
1982,129-08905,30
1983,129-08900,35
1984,129-08902,40
1985,129+04829,45
1986,129+04834,50
1987,129+04853,30
1988,129+04855,30
1989,129+04828,50
1990,129+04831,45
1991,129+04825,40
1992,129+04827,45
1993,129+04826,50
1994,129+04820,40
1995,129+04832,40
1996,129P04824,40
1997,129P04853,30
1998,129P08613,30
1999,129+04837,35
2000,129+04835,40
2001,129+05440,30
2002,129+04833,45
2003,129P04837,35
2004,129+04821,40
2005,129P05439,30
2006,129+04854,30
2007,129+04839,35
2008,129+04840,30
2009,129+04824,40
2010,129+04836,35
2011,129+04856,30
2012,129+04857,30
2013,129+08614,30
2014,129P08614,30
2015,129P04832,45
2016,129P04833,50
2017,129P04830,40
2018,129P04820,40
2019,129P04827,50
2020,129+04822,50
2021,129P04826,50
2022,129P04835,35
2023,129P08609,30
2024,129P05440,30
2025,129+08609,30
2026,129+05439,30
2027,129P04823,40
2028,129P04840,30
2029,129+04838,35
2030,129+04830,45
2031,129+04841,30
2032,129+04823,40
2033,129-15594,20
2034,129-04819,50
2035,129-04822,50
2036,129-04836,40
2037,129-04826,50
2038,129-04857,30
2039,129N04827,50
2040,129-04854,30
2041,129-04830,40
2042,129-04829,45
2043,129-04825,50
2044,129-04834,45
2045,129N04823,40
2046,129-04853,30
2047,129-04823,40
2048,129N04820,50
2049,129N04835,45
2050,129N04832,45
2051,129N04841,30
2052,129N04833,50
2053,129-04855,30
2054,129N04826,50
2055,129-04821,50
2056,129-04841,30
2057,129N05439,30
2058,129N04824,40
2059,129-04840,30
2060,129-04832,45
2061,129-04837,35
2062,129-04835,35
2063,129-05439,30
2064,129-04838,35
2065,129-10918,30
2066,129-04839,30
2067,129N04837,35
2068,129-04824,40
2069,129-04828,40
2070,129-04833,50
2071,129-04827,45
2072,129N04840,30
2073,129N05440,30
2074,129-04856,30
2075,129-04831,45
2076,129-04820,50
2077,129N10919,20
2078,129+04810,50
2079,129+04816,40
2080,129+04806,45
2081,129+04815,50
2082,129+04807,45
2083,129P04808,45
2084,129P04810,50
2085,129+04814,50
2086,129+04817,50
2087,129+04819,45
2088,129+04811,50
2089,129P04815,50
2090,129P04816,40
2091,129P04804,50
2092,129P04817,45
2093,129+04812,50
2094,129P04809,45
2095,129P04803,55
2096,129+04809,45
2097,129+04805,50
2098,129+04813,40
2099,129P04813,50
2100,129+04804,50
2101,129+04808,50
2102,129+04818,45
2103,129P04819,40
2104,129N04817,45
2105,129-04809,45
2106,129-04811,45
2107,129N04804,50
2108,129N04819,40
2109,129N04814,50
2110,129N04815,50
2111,129-04805,45
2112,129N04812,45
2113,129N04808,45
2114,129-04813,45
2115,129-04818,45
2116,129-04816,45
2117,129-04817,45
2118,129N04803,50
2119,129N04816,40
2120,129-04808,45
2121,129-04810,45
2122,129-04804,50
2123,129-04814,50
2124,129-04807,50
2125,129-04806,50
2126,129-04812,45
2127,129-04815,40
2128,129N04813,45
2129,129-04803,50
2130,129N04809,45
2131,129N04810,45
2132,129+08564,40
2133,129+08562,30
2134,129+09555,40
2135,129+08567,30
2136,129+08668,40
2137,129+08565,40
2138,129+08563,40
2139,129P08564,40
2140,129P08561,30
2141,129P08563,40
2142,129+08568,30
2143,129+08566,30
2144,129P08568,35
2145,129P08562,40
2146,129P08565,25
2147,129+08666,40
2148,129-08666,40
2149,129-08567,30
2150,129-08561,30
2151,129-09555,40
2152,129N08563,40
2153,129N08562,40
2154,129-08563,40
2155,129-08565,30
2156,129N08564,40
2157,129-08564,40
2158,129N08565,25
2159,129-08562,40
2160,129N08568,35
2161,129N08561,30
2162,129-08668,40
2163,129-08566,30
2164,129+06847,50
2165,129+06848,50
2166,129+04787,45
2167,129P04787,45
2168,129P04785,50
2169,129+06849,50
2170,129+04784,50
2171,129+04783,50
2172,129+06845,50
2173,129P04783,50
2174,129+06846,45
2175,129+04785,50
2176,129+04786,50
2177,129P04784,50
2178,129N04782,50
2179,129N04785,45
2180,129-04786,45
2181,129N04784,50
2182,129-06845,45
2183,129-06848,55
2184,129N04783,50
2185,129N04787,40
2186,129-04785,45
2187,129-04787,50
2188,129-04784,50
2189,129-06846,50
2190,129-04783,50
2191,129-06847,50
2192,129N04786,45
2193,129-04782,50
2194,129+04760,55
2195,129+04791,50
2196,129+04795,55
2197,129+04797,45
2198,129+04788,55
2199,129+04796,45
2200,129P04799,50
2201,129+04798,45
2202,129+04793,40
2203,129+04792,50
2204,129+04769,50
2205,129+04801,50
2206,129+04789,50
2207,129P04797,45
2208,129P04801,45
2209,129P04802,45
2210,129+04802,45
2211,129P04798,50
2212,129P08236,45
2213,129+04794,45
2214,129P04793,40
2215,129+04799,50
2216,129P04788,45
2217,129P04791,50
2218,129+04800,50
2219,129+04790,50
2220,129P04744,55
2221,129N04793,45
2222,129-04799,45
2223,129-04793,45
2224,129-04789,50
2225,129-04791,50
2226,129N04791,50
2227,129-04788,50
2228,129-04801,50
2229,129N04788,45
2230,129-04796,45
2231,129-04744,55
2232,129N08236,40
2233,129-04794,55
2234,129-04792,45
2235,129N04800,45
2236,129-04769,55
2237,129-04800,45
2238,129-04790,50
2239,129N04744,55
2240,129N04801,45
2241,129N04802,30
2242,129-04760,50
2243,129-04798,45
2244,129-04797,45
2245,129-04795,45
2246,129N04797,45
2247,129N04798,45
2248,129+08721,40
2249,129-08707,30
2250,129+08719,35
2251,129P08720,30
2252,129+08717,25
2253,129+09282,40
2254,129P09281,40
2255,129+09283,35
2256,129P09282,40
2257,129P08716,30
2258,129+08718,30
2259,129+08720,35
2260,129N08716,25
2261,129-08719,30
2262,129-08717,30
2263,129-09282,35
2264,129-09281,40
2265,129-08718,35
2266,129-08720,35
2267,129N09282,40
2268,129+08708,25
2269,129-08716,25
2270,129N09281,40
2271,129N08720,30
2272,129+08242,30
2273,129P10008,35
2274,129+08237,45
2275,129+08243,35
2276,129P08243,25
2277,129+08241,30
2278,129P08240,25
2279,129+08238,45
2280,129P08237,45
2281,129P08239,45
2282,129+08240,45
2283,129P08244,35
2284,129+08244,35
2285,129+10009,35
2286,129P08238,45
2287,129-08236,35
2288,129-08239,40
2289,129N08240,25
2290,129-08240,30
2291,129N08239,45
2292,129-08241,35
2293,129N08237,35
2294,129-08242,35
2295,129N08238,45
2296,129-10008,30
2297,129N08244,35
2298,129-08243,35
2299,129N08243,25
2300,129-08237,45
2301,129+10232,30
2302,129+10228,30
2303,129P10227,30
2304,129P10217,30
2305,129+10218,40
2306,129+10217,35
2307,129+10226,30
2308,129+10229,30
2309,129+10227,30
2310,129P10221,30
2311,129P10222,30
2312,129+10230,30
2313,129P10229,30
2314,129+10221,40
2315,129+10219,40
2316,129P51661,30
2317,129+10222,30
2318,129+10231,30
2319,129+10225,25
2320,129+10220,40
2321,129N10229,30
2322,129N10216,40
2323,129-10217,40
2324,129N10222,30
2325,129-10220,40
2326,129-10218,40
2327,129-10228,30
2328,129N10226,30
2329,129N10217,30
2330,129-10230,30
2331,129-10229,30
2332,129-10221,30
2333,129-10225,30
2334,129-10216,35
2335,129-10227,30
2336,129N51661,30
2337,129N10230,30
2338,129-10226,30
2339,129N10221,30
2340,129-10224,30
2341,129N10227,30
2342,129-10219,40
2343,129N04888,40
2344,129N04890,40
2345,129N08475,35
2346,129-04888,40
2347,129-08475,35
2348,129N04889,40
2349,129+04892,40
2350,129+04895,40
2351,129+04894,40
2352,129-04890,40
2353,129P04892,40
2354,129-08473,40
2355,129P04894,40
2356,129-04889,40
2357,129P04896,40
2358,129N08474,40
2359,129+04893,40
2360,129N08473,40
2361,129+04896,40
2362,129P04893,40
2363,129P04891,40
2364,129+04890,35
2365,129-04893,40
2366,129+08473,35
2367,129P04890,35
2368,129N04893,40
2369,129N04891,35
2370,129P08474,35
2371,129-04894,40
2372,129N04896,40
2373,129+08474,35
2374,129-04895,40
2375,129+08476,35
2376,129-04892,40
2377,129-04891,40
2378,129P08473,35
2379,129+04889,35
2380,129P04888,35
2381,129P08476,35
2382,129N04894,40
2383,129P08475,35
2384,129+08475,35
2385,129P04889,35
2386,129N04880,35
2387,129-04873,30
2388,129-04883,35
2389,129P08557,30
2390,129-04884,35
2391,129-04875,30
2392,129N04872,30
2393,129-04876,30
2394,129N04876,30
2395,129-04877,30
2396,129+08553,30
2397,129N04881,35
2398,129+08555,30
2399,129N04882,20
2400,129N04887,30
2401,129-04872,30
2402,129-04874,30
2403,129+08557,30
2404,129-04880,35
2405,129P08669,30
2406,129-04885,35
2407,129P08555,30
2408,129-04881,35
2409,129-04886,35
2410,129-04882,35
2411,129P08553,30
2412,129N04877,30
2413,129P08556,30
2414,129P08554,30
2415,129N04886,35
2416,129+04881,35
2417,129+04878,30
2418,129+04886,35
2419,129N08555,30
2420,129+04882,35
2421,129-08556,30
2422,129N08557,30
2423,129P04882,20
2424,129+04876,30
2425,129N08554,30
2426,129+04877,30
2427,129+04875,30
2428,129P04873,30
2429,129N08669,30
2430,129N08552,30
2431,129-08552,30
2432,129P04887,35
2433,129P04872,35
2434,129-08554,30
2435,129P04880,35
2436,129P04881,35
2437,129P04877,30
2438,129P04886,35
2439,129N08553,30
2440,129N08556,30
2441,129+04874,30
2442,129+04883,25
2443,129+04885,35
2444,129P04876,30
2445,129+04887,35
2446,129+04884,35
2447,129+04873,30
2448,129P04878,30
2449,129N08691,25
2450,C-173-07,
2451,C-174-20,
2452,C-209-21,
2453,C-210-10,
2454,129-08474,35
2455,129N08476,35
2456,129N06480,35
2457,129-15988,25
2458,129-08760,25
2459,129+15989,25
2460,129+15988,25
2461,129N08723,40
2462,129P08723,40
2463,129-08456,30
2464,129-08722,35
2465,129-08723,40
2466,129-08724,30
2467,129N08722,30
2468,129P14991,35
2469,129+08457,30
2470,129P08708,25
2471,129+08725,30
2472,129P08722,30
2473,129+08723,35
2474,129+05825,45
2475,129-06337,45
2476,129-06419,25
2477,129+06420,25
2478,129P06420,25
2479,129P06477,30
2480,129-08770,30
2481,129-08596,30
2482,129N08771,25
2483,129N08596,30
2484,129+08771,30
2485,129+08596,30
2486,129P08771,25
2487,129P08596,30
2488,129+08442,35
2489,129-08439,35
2490,129-08441,35
2491,129+08440,35
2492,129+08434,30
2493,129+08433,30
2494,129+08436,30
2495,129+08435,30
2496,129-08432,30
2497,129-08434,30
2498,129-08435,30
2499,129-08433,30
2500,129+08637,25
2501,129+08634,30
2502,129+08638,25
2503,129+09567,30
2504,129+08635,30
2505,129+08636,30
2506,129+08507,30
2507,129+08506,30
2508,129+10339,30
2509,129+10340,30
2510,129+08510,30
2511,129-08505,30
2512,129+08509,30
2513,129-08506,30
2514,129+10101,35
2515,129+10100,35
2516,129+10099,35
2517,129+08403,30
2518,129+10851,30
2519,129-10100,35
2520,129-10099,30
2521,129-10850,30
2522,129-08402,35
2523,129-10098,35
2524,129+10032,30
2525,129+10036,30
2526,129+10033,30
2527,129+10035,30
2528,129+10039,30
2529,129+10034,30
2530,129+08345,30
2531,129+08353,30
2532,129+10037,30
2533,129+08354,30
2534,129+10038,30
2535,129-10031,30
2536,129-10036,30
2537,129-08353,30
2538,129-10037,30
2539,129-10032,30
2540,129-10033,30
2541,129-10034,30
2542,129-08344,30
2543,129-10035,30
2544,129-08352,30
2545,129-10038,30
2546,129+04916,30
2547,129+04915,35
2548,129-04914,35
2549,129-04915,30
2550,129N08440,35
2551,129P08441,35
2552,129P08442,35
2553,129N08442,35
2554,129N08441,35
2555,129P08440,35
2556,129P08432,30
2557,129P08435,30
2558,129P08436,30
2559,129N08436,30
2560,129N08435,30
2561,129N08432,30
2562,129P09567,30
2563,129P08637,25
2564,129P10338,30
2565,129P10339,30
2566,129P10340,30
2567,C-217-02,30
2568,129-08631,30
2569,129P08508,30
2570,C-218-04,30
2571,129P08084,35
2572,129P10098,35
2573,129P10099,35
2574,129P10100,35
2575,C-219-07,30
2576,129P10850,30
2577,129P10851,30
2578,129P10038,30
2579,129N10851,30
2580,129N10850,30
2581,129N10101,30
2582,129N10100,30
2583,129N10099,30
2584,129N10098,35
2585,129P08352,30
2586,129P08354,30
2587,129P10031,30
2588,129P10032,30
2589,129P10033,30
2590,129N10038,30
2591,129N10033,30
2592,129N10032,30
2593,129N08354,30
2594,129N10031,30
2595,129N08352,30
2596,129P04914,35
2597,129P04915,35
2598,129N04914,35
2599,129N04915,15
2600,129-04913,35
2601,129N04913,35
2602,129+08724,40
2603,129P08552,35
2604,129N08439,35
2605,129P08439,35
2606,129N08685,30
2607,129N08681,30
2608,129P08681,30
2609,129-06473,30
2610,129P10226,30
2611,129P10191,30
2612,129N10043,30
2613,C-173-11,20
2614,129P08062,35
2615,C-177-14,30
2616,C-178-02,30
2617,C-192-03,30
2618,C-205-09,30
2619,C-205-11,
2620,C-206-11,
2621,C-206-13,30
2622,129P10230,30
2623,C-205-19,30
2624,C-172-08,30
2625,C-165-10,25
2626,129+04109,55
2627,129+04745,45
2628,129+04666,55
2629,129P05867,55
2630,129+05867,55
2631,129N04186,60
2632,129+04779,50
2633,129+04919,45
2634,129N04434,45
2635,129N04661,65
2636,129N04775,50
2637,129N04136,65
2638,129N04289,65
2639,129N04177,40
2640,129N04334,55
2641,129N04357,55
2642,129N04390,65
2643,129N04427,40
2644,129N04125,45
2645,129N04354,55
2646,129N04182,60
2647,129N04345,65
2648,129N04262,50
2649,129N04406,55
2650,129P04370,55
2651,129N04382,55
2652,129+04369,55
2653,129N04295,65
2654,129+04405,55
2655,129+04103,55
2656,129+04118,45
2657,129+04366,55
2658,129P04274,65
2659,129+04280,65
2660,129+04435,45
2661,129+04343,65
2662,129+04423,65
2663,129+04115,45
2664,129P04144,65
2665,129+04322,65
2666,129+04272,35
2667,129+04748,45
2668,129-04376,55
2669,129-04643,55
2670,129+04384,55
2671,129+04428,50
2672,129N04613,65
2673,129N04303,65
2674,129+04344,65
2675,129+04128,55
2676,129-04361,55
2677,129+04348,65
2678,129+04750,45
2679,129-04328,50
2680,129+04775,50
2681,129+16182,65
2682,129P04294,65
2683,129N04099,55
2684,129-14217,55
2685,129N04108,55
2686,129N04313,55
2687,129N04272,55
2688,129-14199,45
2689,129-04329,55
2690,129-04333,55
2691,129+04269,55
2692,129+04443,65
2693,129-04271,55
2694,129-04386,65
2695,129-04387,65
2696,129+04138,65
2697,129N04271,55
2698,129N05867,65
2699,129P04320,65
2700,129P04355,55
2701,129P04386,65
2702,129N04323,65
2703,129+04278,65
2704,129N04665,55
2705,129+04398,65
2706,129N04401,55
2707,129N04752,25
2708,129+04146,65
2709,129N04782,50
2710,129+13228,65
2711,129-04248,55
2712,129-04254,55
2713,129-04460,65
2714,129+04119,45
2715,129-04113,45
2716,129+04187,60
2717,129+04481,55
2718,129-16182,65
2719,129-04133,65
2720,129-04420,50
2721,129-04317,65
2722,129-04462,55
2723,129-04756,55
2724,129-04104,55
2725,129-04381,55
2726,129-04106,55
2727,129+04129,55
2728,129+04276,65
2729,129N04253,55
2730,129N04336,55
2731,129N04779,50
2732,129-04342,65
2733,129+04279,65
2734,129-04270,55
2735,129+04771,50
2736,129-04249,55
2737,129-04753,55
2738,129-04099,55
2739,129N04297,65
2740,129N04315,65
2741,129+04624,65
2742,129P04375,55
2743,129P04362,55
2744,129P04433,45
2745,129-04296,65
2746,129+13229,65
2747,129-04667,55
2748,129-04244,55
2749,129-04383,55
2750,129+04349,65
2751,129-04140,65
2752,129+04113,55
2753,129+04131,65
2754,129+04193,60
2755,129P04399,65
2756,129-04130,65
2757,129-04299,65
2758,129P04124,45
2759,129P04138,65
2760,129+04442,65
2761,129-04625,65
2762,129-04269,55
2763,129-04334,55
2764,129-04416,50
2765,129-04640,55
2766,129-04461,65
2767,129+04781,50
2768,129N04385,50
2769,129N04642,55
2770,129N04920,25
2771,129N05584,40
2772,129-04193,55
2773,129-04145,65
2774,129-04125,55
2775,129-04332,55
2776,129-04318,65
2777,129-04339,65
2778,129-04406,55
2779,129-04644,55
2780,129-04268,55
2781,129-04626,65
2782,129+04413,25
2783,129N04481,55
2784,129-04136,65
2785,129-04282,65
2786,129-04427,55
2787,129P04249,55
2788,129P04247,55
2789,129P04407,55
2790,129-04298,65
2791,129-04351,55
2792,129-04388,65
2793,129-04918,45
2794,129-04245,55
2795,129P04432,45
2796,129-04312,55
2797,129-04748,45
2798,129P04448,65
2799,129N04443,65
2800,129-04191,60
2801,129N04280,65
2802,129N04347,65
2803,129N04403,55
2804,129-04186,60
2805,129-04242,55
2806,129-04399,65
2807,129P04301,65
2808,129+04392,65
2809,129N04324,65
2810,129N04638,55
2811,129N04376,55
2812,129-04341,65
2813,129-04390,65
2814,129-04410,30
2815,129-04434,45
2816,129-04778,50
2817,129P04111,55
2818,129P04430,30
2819,129-04413,45
2820,129-04182,60
2821,129-04323,65
2822,129-04347,65
2823,129+04362,55
2824,129+04111,55
2825,129-04327,55
2826,129-04479,55
2827,129N04278,65
2828,129N04325,65
2829,129P04184,60
2830,129P04405,55
2831,129P04640,55
2832,129P04782,50
2833,129+04460,65
2834,129+04293,65
2835,129+04335,55
2836,129-04777,50
2837,129-04775,50
2838,129N04447,65
2839,129N04400,50
2840,129N04417,50
2841,129N04430,30
2842,129P04267,55
2843,129P04302,65
2844,129+04244,55
2845,129+04390,65
2846,129-04771,50
2847,129N04393,65
2848,129N04122,45
2849,129N04424,65
2850,129+04360,55
2851,129P04337,55
2852,129P04447,65
2853,129+04264,50
2854,129+04288,65
2855,129+04385,50
2856,129+04099,55
2857,129+04132,65
2858,129N04372,55
2859,129P04178,60
2860,129+04304,65
2861,129+04135,65
2862,129+04401,55
2863,129N04404,55
2864,129N04277,65
2865,129+04432,55
2866,129+04628,65
2867,129P04395,65
2868,129N04188,60
2869,129P04325,45
2870,129P04288,65
2871,129P04462,40
2872,129P04644,55
2873,129N04381,55
2874,129N04460,65
2875,129N04311,55
2876,129P04338,55
2877,129P04643,55
2878,129N04130,55
2879,129N04355,55
2880,129N04462,65
2881,129+04430,55
2882,129P04665,55
2883,129P04122,45
2884,129+04300,65
2885,129P04253,55
