tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date,thrulanes_unidir,aadt_unidir,aadt_singl_unidir,aadt_combi_unidir
129+10152,TREMONT ST,NORTHBOUND,MASSACHUSETTS AVE,MA,SUFFOLK,02120,42.33568,-71.08701,42.33931,-71.08032,0.424244,6.0,America/New_York,P1.11,USA,942,4,N,3,9271,2,,2,,1,1,,15794,612,171,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,7897,306,86
129-08708,MA-60,EASTBOUND,US-3/MASSACHUSETTS AVE,MA,MIDDLESEX,02476,42.40631,-71.16296,42.41547,-71.15321,0.834536,10.0,America/New_York,P1.11,USA,426,4,N,3,9271,2,,2,60,4,1,60,12883,581,136,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,6442,291,68
129+10153,TREMONT ST,NORTHBOUND,DARTMOUTH ST/W DEDHAM ST,MA,SUFFOLK,02118,42.33931,-71.08032,42.34281,-71.07377,0.413006,7.0,America/New_York,P1.11,USA,942,4,N,3,9271,2,,4,,1,1,,15762,609,171,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,7881,305,86
129-50285,CODDINGTON ST,SOUTHBOUND,WASHINGTON ST,MA,NORFOLK,02169,42.25499,-70.99733,42.25189,-71.00192,0.318072,1.0,America/New_York,P1.11,USA,50284,4,N,3,9271,2,,2,,1,1,,12414,484,135,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,6207,242,68
129-08707,MA-60,EASTBOUND,US-3/MYSTIC ST,MA,MIDDLESEX,02474,42.41555,-71.15311,42.41647,-71.15154,0.102245,12.0,America/New_York,P1.11,USA,426,3,N,3,9271,6,,2,60,4,1,,12219,765,205,1,1,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,6110,383,103
129+10154,TREMONT ST,NORTHBOUND,SHAWMUT AVE/OAK ST,MA,SUFFOLK,02116,42.34281,-71.07377,42.34863,-71.06554,0.624161,8.0,America/New_York,P1.11,USA,942,4,N,1,9271,2,1,4,90,1,1,90,17882,783,325,1,88,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,8941,392,163
129-50282,SCHOOL ST,WESTBOUND,FRANKLIN ST/PARKING WAY,MA,NORFOLK,02169,42.24501,-71.00099,42.24413,-71.00296,0.117691,1.5,America/New_York,P1.11,USA,50280,4,N,3,9271,2,,2,,1,1,,13940,267,56,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,6970,134,28
129-08706,MA-60,EASTBOUND,MYSTIC VALLEY PKWY/ARLINGTON ST,MA,MIDDLESEX,02474,42.41639,-71.15062,42.42058,-71.14221,0.584006,14.0,America/New_York,P1.11,USA,426,4,N,3,9271,2,1,2,60,4,1,60,14497,658,155,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,7249,329,78
129-04326,MA-128,SOUTHBOUND,EXIT 29,MA,ESSEX,01960,42.5258,-70.96262,42.52589,-70.96729,0.237831,38.0,America/New_York,P1.11,USA,79,3,N,2,9271,2,1,6,128,4,1,128,94881,2656,853,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,47441,1328,427
129-05657,MA-139,EASTBOUND,CENTER ST,MA,NORFOLK,02368,42.16565,-71.04333,42.1554,-71.02704,1.132741,6.0,America/New_York,P1.11,USA,416,3,N,3,9271,2,,2,139,4,1,139,20904,962,236,1,82,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,10452,481,118
129-04327,MA-128,SOUTHBOUND,CENTENNIAL DR/FOREST ST/EXIT 28,MA,ESSEX,01960,42.53404,-70.95048,42.52688,-70.95715,0.609845,36.0,America/New_York,P1.11,USA,79,3,N,2,9271,6,1,4,128,4,1,128,92703,2595,835,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,46352,1298,418
129-05658,MA-139,EASTBOUND,MA-28/N MAIN ST,MA,NORFOLK,02368,42.15935,-71.06563,42.16565,-71.04333,1.316124,5.0,America/New_York,P1.11,USA,416,3,N,3,9271,2,,2,139,4,1,139,25156,1148,423,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,12578,574,212
129-05656,MA-139,EASTBOUND,FRANKLIN ST,MA,NORFOLK,02343,42.1554,-71.02704,42.15482,-71.00924,0.91267,7.0,America/New_York,P1.11,USA,416,3,N,3,9271,2,1,2,139,4,1,139,18198,836,205,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,9099,418,103
129-05653,MA-126,SOUTHBOUND,SHERMAN BRIDGE RD,MA,MIDDLESEX,01773,42.41445,-71.34161,42.39677,-71.35159,1.419766,4.0,America/New_York,P1.11,USA,415,3,N,3,9271,2,,2,126,4,1,126,8995,154,35,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,4498,77,18
129-05654,MA-126,SOUTHBOUND,MA-117/S GREAT RD,MA,MIDDLESEX,01773,42.43112,-71.33478,42.41445,-71.34161,1.234095,3.0,America/New_York,P1.11,USA,415,3,N,3,9271,2,1,2,126,4,1,126,8995,154,35,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,4498,77,18
129N09961,BLUE HILLS PKY,SOUTHBOUND,MA-28/BROOK RD,MA,NORFOLK,02186,42.26268,-71.09373,42.26232,-71.09373,0.024869,1.0,America/New_York,P1.11,USA,884,4,N,3,9271,6,,4,28,4,1,28,44861,2062,494,1,53,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,22431,1031,247
129-05651,MA-126,SOUTHBOUND,MA-27/COCHITUATE RD,MA,MIDDLESEX,01778,42.36299,-71.36018,42.34862,-71.35898,1.042328,10.0,America/New_York,P1.11,USA,415,3,N,3,9271,2,,2,27,4,1,27,7645,351,83,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,3823,176,42
129-05652,MA-126,SOUTHBOUND,MA-27/OLD SUDBURY RD,MA,MIDDLESEX,01778,42.38243,-71.35784,42.36509,-71.36129,1.234978,7.0,America/New_York,P1.11,USA,415,3,N,3,9271,2,,2,126,4,1,126,8995,154,35,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,4498,77,18
